,Level I,Level II
"History and motivation","Should understand at a high level what the motivating factors were to create Java","Appreciates the reasons that motivated the creation of Java"
,"Is aware that Java is a garbage collected language","Understands at a high level what platform portability means"
,"Understands at a high level what platform portability means","Is aware of the default encoding of Java source files"
,"Understands at a high level what platform portability means","Is aware that Java has also achieved language portability with languages that compile to bytecode"
,"Understands the role a VM plays in platform portability",
,"Understands the difference between compilation and interpretation",
,,
"Overall Code structure","Knows that all Java code must be in a file ending in the .java extension","Understands how namespaces lend to modularization of code and can make choices about which package a certain class should belong to"
,"Understands rules related to classes in a physical Java file",
,"Knows what can constitute a valid class, and variable name",
,"Knows what keywords are",
,"Understands that every Java application (and not Applets) have as their entry point a class with a public static void main function.  Public static void main(String args[])",
,"Understands the basic structure of a Java class",
,"Knows the meaning of primitive data types in Java",
,,
,"Knows the difference between int and long, short, and byte",
,,
,,
,,
,,
"Primitives","Knows about primtive data types in Java","Understands why the creators of Java made primtive data types vs. making everything into an object"
,"Knows the difference between float and double","Knows that 16 bits are not good enough for storing the extended range of unicode characters"
,"Understands the difference int and long, short, and byte","Knows that a boolean may not necassarily take only 1 bit of storage on the heap"
,"Knows the difference between float and double","Knows how to deal with the extended unicode range in code"
,"Understands why we need a boolean",
,"Understands that a char represents a 16 bit unicode character",
,,
,,
,,
,,
,,
"Language basics","Knows what is type casting in primitives","Is conceptually aware of new language features planned for the next release of Java"
,"Understand that java is 'strongly-typed' language and what it means to be a strongly types language",
,"Knows why an int can automatically cast into a long and a float can automatically cast into a double",
,"Understands what happens when a long is coerced into a int",
,"Understands what happens when a float is coerced into an int",
,"Understands what happens when we perform path with a float and int",
,"Understands that floats are automatically promoted to double",
,"Knows that Java does not support operator overloading except in the case of '+' operator for concatenating Strings",
,"Understands that primitive values are passed by value in Java",
,"Understands that when objects are passed to another method, their references are passed by value, which in effect means that objects are passed as references.",
,,
,,
,,
"Flow of control","Understands how to control flow with if...else",
,"Understands how to control flow with  switch",
,"Knows how to use the tertiary operator",
,"Knows what types can be given to a switch statement",
,"Understands logical expressions using logical operator like &&(and),||(or),!(not) and other operators like <, >, ==, !=, <=, >=, etc.","Is aware of how short circuiting works with conditional operators"
,"Understands that in Java, logical expressions evaluate to 'true' or 'false' and never to 1(non-zero) or 0.",
,"Understands how to repeat code using the for statement",
,"Understands how to repeat code using the while statement",
,"Understands working of do-while looping construct",
,"Understands how to use nested loops for complex flow of control",
,,
"String handling","Understands the difference between a character and String","Knows that concatenation can be done faster with StringBuffer"
,"Knows how to concatanate multiple strings using the operator and or API",
,"Understands what happens when we concatenate a String with another data type","Understands what constitutes a good toString method"
,"Knows how to get a substring from a String","Knows how to split a string using a regex"
,"Knows how to determine if a String has a particular substring","Knows how to create a String using unicode characters"
,"Knows how to split a string on whitespace","Knows what a CharacterSequence is and why a String is a CharacterSequence"
,"Knows that Strings are immutable",
,"Knows how to determine the length of a String",
,"Is aware of and can use various API's for comparing Strings",
,"Understands difference between equals() and ==",
,"Knows to search  within Strings using functions indexOf(), lastIndexOf()",
,"Knows functions to modify a string such as subString(), concat(),replace(),trim(),",
,"Knows how to use API's to change the case of a String",
,,
"OO Java","Knows how to define a class in Java","Clearly gets programming to interfaces"
,"Knows what an access modifier is and understands the differences between public, private,protected, and package private","Knows why Java chose to have java.lang.Object as the common superclass of all other classes in Java"
,"Understands the differences between public, private, protected, and package private classes","Understands why upcasting is automatic"
,"Understands that attributes hold the state of a class and how to declare them","Understands the SOLID principles of OO design"
,"Is aware of what the keyword 'this' means","Understands the pros and cons between composition and inheritance"
